experiment_type,conditions,results,gene_id,publication_id
ATAC-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.1, ""time"": ""28h""}","{""measurement"": 97.18, ""p_value"": 0.0381, ""fold_change"": 0.03}",24,305
RNA-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 7.7, ""time"": ""48h""}","{""measurement"": 84.39, ""p_value"": 0.0201, ""fold_change"": -0.37}",844,416
Metabolomics,"{""temperature"": ""36\u00b0C"", ""ph"": 7.9, ""time"": ""44h""}","{""measurement"": 44.58, ""p_value"": 0.0244, ""fold_change"": 0.51}",67,265
RNA-Seq,"{""temperature"": ""30\u00b0C"", ""ph"": 7.8, ""time"": ""23h""}","{""measurement"": 72.4, ""p_value"": 0.0024, ""fold_change"": 0.05}",204,179
ATAC-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 7.6, ""time"": ""43h""}","{""measurement"": 19.15, ""p_value"": 0.0037, ""fold_change"": -2.93}",441,348
ChIP-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 7.8, ""time"": ""7h""}","{""measurement"": 67.99, ""p_value"": 0.0057, ""fold_change"": -4.66}",711,247
Metabolomics,"{""temperature"": ""20\u00b0C"", ""ph"": 7.0, ""time"": ""32h""}","{""measurement"": 42.37, ""p_value"": 0.0423, ""fold_change"": 4.71}",505,355
RNA-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 6.7, ""time"": ""11h""}","{""measurement"": 77.58, ""p_value"": 0.039, ""fold_change"": -0.42}",515,421
RNA-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 6.8, ""time"": ""20h""}","{""measurement"": 53.59, ""p_value"": 0.0355, ""fold_change"": -0.2}",558,237
Metabolomics,"{""temperature"": ""32\u00b0C"", ""ph"": 7.2, ""time"": ""27h""}","{""measurement"": 67.09, ""p_value"": 0.0152, ""fold_change"": -2.7}",3,319
ChIP-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 7.3, ""time"": ""35h""}","{""measurement"": 67.87, ""p_value"": 0.0198, ""fold_change"": 4.17}",754,40
Metabolomics,"{""temperature"": ""22\u00b0C"", ""ph"": 6.2, ""time"": ""1h""}","{""measurement"": 51.86, ""p_value"": 0.007, ""fold_change"": 0.29}",902,117
WES,"{""temperature"": ""26\u00b0C"", ""ph"": 7.3, ""time"": ""20h""}","{""measurement"": 29.86, ""p_value"": 0.0253, ""fold_change"": -3.79}",552,27
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 7.8, ""time"": ""40h""}","{""measurement"": 63.67, ""p_value"": 0.0489, ""fold_change"": 4.93}",699,117
ATAC-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 8.0, ""time"": ""34h""}","{""measurement"": 10.29, ""p_value"": 0.0019, ""fold_change"": 3.0}",988,172
WGS,"{""temperature"": ""22\u00b0C"", ""ph"": 7.8, ""time"": ""15h""}","{""measurement"": 43.89, ""p_value"": 0.0004, ""fold_change"": -1.73}",196,361
WES,"{""temperature"": ""20\u00b0C"", ""ph"": 6.9, ""time"": ""44h""}","{""measurement"": 35.62, ""p_value"": 0.0369, ""fold_change"": -2.71}",455,464
ChIP-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 7.3, ""time"": ""48h""}","{""measurement"": 48.06, ""p_value"": 0.0104, ""fold_change"": -0.6}",62,436
Microarray,"{""temperature"": ""21\u00b0C"", ""ph"": 6.7, ""time"": ""10h""}","{""measurement"": 97.57, ""p_value"": 0.0271, ""fold_change"": -2.62}",311,259
ATAC-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 6.1, ""time"": ""22h""}","{""measurement"": 21.12, ""p_value"": 0.0308, ""fold_change"": -3.16}",724,426
Microarray,"{""temperature"": ""21\u00b0C"", ""ph"": 6.7, ""time"": ""23h""}","{""measurement"": 21.27, ""p_value"": 0.0249, ""fold_change"": 0.48}",529,388
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 6.6, ""time"": ""39h""}","{""measurement"": 62.48, ""p_value"": 0.0179, ""fold_change"": 2.48}",102,281
Metabolomics,"{""temperature"": ""31\u00b0C"", ""ph"": 7.6, ""time"": ""22h""}","{""measurement"": 3.93, ""p_value"": 0.0396, ""fold_change"": -1.54}",103,216
ChIP-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 7.9, ""time"": ""11h""}","{""measurement"": 93.36, ""p_value"": 0.0423, ""fold_change"": 0.92}",3,241
Metabolomics,"{""temperature"": ""30\u00b0C"", ""ph"": 6.6, ""time"": ""26h""}","{""measurement"": 84.25, ""p_value"": 0.0123, ""fold_change"": -1.72}",534,254
WES,"{""temperature"": ""26\u00b0C"", ""ph"": 6.7, ""time"": ""26h""}","{""measurement"": 14.81, ""p_value"": 0.011, ""fold_change"": -2.99}",402,450
Metabolomics,"{""temperature"": ""27\u00b0C"", ""ph"": 6.5, ""time"": ""29h""}","{""measurement"": 32.91, ""p_value"": 0.0152, ""fold_change"": -3.79}",498,74
WGS,"{""temperature"": ""32\u00b0C"", ""ph"": 6.3, ""time"": ""6h""}","{""measurement"": 11.5, ""p_value"": 0.0456, ""fold_change"": 1.18}",671,275
RNA-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 6.1, ""time"": ""12h""}","{""measurement"": 40.36, ""p_value"": 0.0261, ""fold_change"": -4.23}",514,36
WES,"{""temperature"": ""25\u00b0C"", ""ph"": 7.5, ""time"": ""36h""}","{""measurement"": 91.74, ""p_value"": 0.0427, ""fold_change"": 4.81}",9,129
Metabolomics,"{""temperature"": ""23\u00b0C"", ""ph"": 7.4, ""time"": ""22h""}","{""measurement"": 15.83, ""p_value"": 0.0088, ""fold_change"": -0.04}",758,489
ATAC-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 6.2, ""time"": ""5h""}","{""measurement"": 21.85, ""p_value"": 0.0127, ""fold_change"": 1.3}",502,438
ATAC-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 6.8, ""time"": ""25h""}","{""measurement"": 80.81, ""p_value"": 0.0344, ""fold_change"": -0.05}",69,296
WGS,"{""temperature"": ""20\u00b0C"", ""ph"": 6.9, ""time"": ""43h""}","{""measurement"": 61.68, ""p_value"": 0.0169, ""fold_change"": -1.01}",731,19
WES,"{""temperature"": ""29\u00b0C"", ""ph"": 7.2, ""time"": ""30h""}","{""measurement"": 53.53, ""p_value"": 0.0473, ""fold_change"": 4.64}",237,303
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.0, ""time"": ""4h""}","{""measurement"": 82.39, ""p_value"": 0.0236, ""fold_change"": -3.29}",122,94
RNA-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.7, ""time"": ""30h""}","{""measurement"": 52.28, ""p_value"": 0.0311, ""fold_change"": -3.95}",621,335
ATAC-Seq,"{""temperature"": ""30\u00b0C"", ""ph"": 7.0, ""time"": ""33h""}","{""measurement"": 72.96, ""p_value"": 0.0023, ""fold_change"": -2.13}",397,306
WGS,"{""temperature"": ""37\u00b0C"", ""ph"": 6.3, ""time"": ""30h""}","{""measurement"": 45.16, ""p_value"": 0.024, ""fold_change"": -0.66}",526,9
RNA-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 6.5, ""time"": ""9h""}","{""measurement"": 48.73, ""p_value"": 0.0288, ""fold_change"": -4.76}",643,2
Proteomics,"{""temperature"": ""29\u00b0C"", ""ph"": 6.9, ""time"": ""33h""}","{""measurement"": 19.35, ""p_value"": 0.034, ""fold_change"": -4.52}",552,63
Metabolomics,"{""temperature"": ""29\u00b0C"", ""ph"": 7.6, ""time"": ""33h""}","{""measurement"": 31.54, ""p_value"": 0.0026, ""fold_change"": -3.95}",116,39
ATAC-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.2, ""time"": ""21h""}","{""measurement"": 3.8, ""p_value"": 0.0024, ""fold_change"": 4.3}",453,76
Proteomics,"{""temperature"": ""22\u00b0C"", ""ph"": 6.1, ""time"": ""18h""}","{""measurement"": 83.88, ""p_value"": 0.0031, ""fold_change"": 1.53}",517,290
RNA-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 6.7, ""time"": ""45h""}","{""measurement"": 33.78, ""p_value"": 0.037, ""fold_change"": -4.8}",404,388
ChIP-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 7.2, ""time"": ""48h""}","{""measurement"": 18.79, ""p_value"": 0.0452, ""fold_change"": 0.53}",458,53
WES,"{""temperature"": ""22\u00b0C"", ""ph"": 6.5, ""time"": ""15h""}","{""measurement"": 76.84, ""p_value"": 0.0108, ""fold_change"": 0.09}",225,196
ATAC-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.5, ""time"": ""31h""}","{""measurement"": 70.24, ""p_value"": 0.0414, ""fold_change"": 0.68}",183,87
RNA-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 6.6, ""time"": ""6h""}","{""measurement"": 7.56, ""p_value"": 0.0243, ""fold_change"": -4.86}",601,226
Metabolomics,"{""temperature"": ""31\u00b0C"", ""ph"": 6.2, ""time"": ""31h""}","{""measurement"": 18.78, ""p_value"": 0.0303, ""fold_change"": 0.61}",353,84
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 6.1, ""time"": ""43h""}","{""measurement"": 76.97, ""p_value"": 0.0142, ""fold_change"": 3.36}",901,37
ATAC-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 7.0, ""time"": ""16h""}","{""measurement"": 50.38, ""p_value"": 0.0308, ""fold_change"": 2.4}",746,213
ATAC-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 7.4, ""time"": ""19h""}","{""measurement"": 14.94, ""p_value"": 0.0036, ""fold_change"": 3.27}",655,190
WGS,"{""temperature"": ""32\u00b0C"", ""ph"": 7.1, ""time"": ""33h""}","{""measurement"": 87.74, ""p_value"": 0.0326, ""fold_change"": 2.6}",449,334
ChIP-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 6.8, ""time"": ""35h""}","{""measurement"": 52.16, ""p_value"": 0.008, ""fold_change"": 1.47}",534,79
Metabolomics,"{""temperature"": ""29\u00b0C"", ""ph"": 7.9, ""time"": ""16h""}","{""measurement"": 97.73, ""p_value"": 0.0215, ""fold_change"": 3.08}",970,401
Metabolomics,"{""temperature"": ""22\u00b0C"", ""ph"": 7.3, ""time"": ""27h""}","{""measurement"": 59.93, ""p_value"": 0.0138, ""fold_change"": -4.76}",456,388
WGS,"{""temperature"": ""29\u00b0C"", ""ph"": 6.7, ""time"": ""5h""}","{""measurement"": 69.58, ""p_value"": 0.0169, ""fold_change"": -3.08}",31,13
WGS,"{""temperature"": ""30\u00b0C"", ""ph"": 7.4, ""time"": ""29h""}","{""measurement"": 96.7, ""p_value"": 0.0332, ""fold_change"": 0.3}",483,209
WGS,"{""temperature"": ""21\u00b0C"", ""ph"": 6.9, ""time"": ""33h""}","{""measurement"": 26.51, ""p_value"": 0.0429, ""fold_change"": -1.93}",157,438
WES,"{""temperature"": ""26\u00b0C"", ""ph"": 6.3, ""time"": ""21h""}","{""measurement"": 17.99, ""p_value"": 0.0084, ""fold_change"": -2.63}",54,33
ATAC-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 6.8, ""time"": ""13h""}","{""measurement"": 66.58, ""p_value"": 0.023, ""fold_change"": 2.31}",423,470
Microarray,"{""temperature"": ""30\u00b0C"", ""ph"": 6.1, ""time"": ""43h""}","{""measurement"": 16.03, ""p_value"": 0.0454, ""fold_change"": -2.54}",276,357
WGS,"{""temperature"": ""24\u00b0C"", ""ph"": 6.3, ""time"": ""12h""}","{""measurement"": 83.32, ""p_value"": 0.0225, ""fold_change"": 3.49}",914,367
Metabolomics,"{""temperature"": ""36\u00b0C"", ""ph"": 7.0, ""time"": ""7h""}","{""measurement"": 9.73, ""p_value"": 0.0076, ""fold_change"": -4.14}",525,255
RNA-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 7.0, ""time"": ""26h""}","{""measurement"": 22.26, ""p_value"": 0.015, ""fold_change"": 3.71}",629,273
Metabolomics,"{""temperature"": ""34\u00b0C"", ""ph"": 7.0, ""time"": ""23h""}","{""measurement"": 32.41, ""p_value"": 0.0377, ""fold_change"": 4.89}",995,38
Microarray,"{""temperature"": ""22\u00b0C"", ""ph"": 7.9, ""time"": ""17h""}","{""measurement"": 7.05, ""p_value"": 0.0489, ""fold_change"": 0.51}",606,56
RNA-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.8, ""time"": ""17h""}","{""measurement"": 39.92, ""p_value"": 0.0479, ""fold_change"": -3.23}",439,188
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 6.4, ""time"": ""17h""}","{""measurement"": 8.7, ""p_value"": 0.0147, ""fold_change"": 2.25}",568,358
ChIP-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 6.2, ""time"": ""24h""}","{""measurement"": 6.08, ""p_value"": 0.0035, ""fold_change"": 2.42}",165,21
Proteomics,"{""temperature"": ""26\u00b0C"", ""ph"": 7.7, ""time"": ""7h""}","{""measurement"": 83.18, ""p_value"": 0.0447, ""fold_change"": 1.72}",446,228
ChIP-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 7.4, ""time"": ""30h""}","{""measurement"": 7.86, ""p_value"": 0.0093, ""fold_change"": 2.15}",674,90
ATAC-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 7.9, ""time"": ""28h""}","{""measurement"": 57.17, ""p_value"": 0.0217, ""fold_change"": -0.91}",543,91
ChIP-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.1, ""time"": ""31h""}","{""measurement"": 61.85, ""p_value"": 0.0027, ""fold_change"": -3.13}",481,438
WGS,"{""temperature"": ""37\u00b0C"", ""ph"": 6.2, ""time"": ""34h""}","{""measurement"": 94.01, ""p_value"": 0.047, ""fold_change"": -3.53}",817,353
RNA-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 6.6, ""time"": ""4h""}","{""measurement"": 87.88, ""p_value"": 0.0471, ""fold_change"": -2.03}",547,439
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 6.8, ""time"": ""20h""}","{""measurement"": 43.19, ""p_value"": 0.0127, ""fold_change"": -3.86}",488,55
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 7.3, ""time"": ""17h""}","{""measurement"": 54.45, ""p_value"": 0.0053, ""fold_change"": -2.22}",133,435
ChIP-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 7.2, ""time"": ""13h""}","{""measurement"": 6.1, ""p_value"": 0.0195, ""fold_change"": -2.52}",26,494
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 6.8, ""time"": ""12h""}","{""measurement"": 99.35, ""p_value"": 0.0004, ""fold_change"": -4.81}",357,335
ChIP-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 7.8, ""time"": ""13h""}","{""measurement"": 18.5, ""p_value"": 0.0494, ""fold_change"": 0.38}",643,21
ChIP-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 7.1, ""time"": ""46h""}","{""measurement"": 83.79, ""p_value"": 0.035, ""fold_change"": -4.49}",275,49
WES,"{""temperature"": ""22\u00b0C"", ""ph"": 6.3, ""time"": ""40h""}","{""measurement"": 13.39, ""p_value"": 0.0178, ""fold_change"": -3.4}",885,130
Proteomics,"{""temperature"": ""26\u00b0C"", ""ph"": 7.5, ""time"": ""12h""}","{""measurement"": 24.94, ""p_value"": 0.0075, ""fold_change"": 3.54}",351,27
WES,"{""temperature"": ""25\u00b0C"", ""ph"": 7.1, ""time"": ""15h""}","{""measurement"": 82.11, ""p_value"": 0.0093, ""fold_change"": -2.69}",507,1
ChIP-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 6.4, ""time"": ""32h""}","{""measurement"": 99.16, ""p_value"": 0.0186, ""fold_change"": -3.99}",223,414
ATAC-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 7.7, ""time"": ""25h""}","{""measurement"": 94.88, ""p_value"": 0.0199, ""fold_change"": 0.46}",641,289
RNA-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.7, ""time"": ""18h""}","{""measurement"": 56.81, ""p_value"": 0.0452, ""fold_change"": 0.07}",830,280
WGS,"{""temperature"": ""21\u00b0C"", ""ph"": 6.7, ""time"": ""23h""}","{""measurement"": 1.05, ""p_value"": 0.0331, ""fold_change"": -2.35}",130,416
Proteomics,"{""temperature"": ""26\u00b0C"", ""ph"": 7.0, ""time"": ""8h""}","{""measurement"": 75.43, ""p_value"": 0.0119, ""fold_change"": -3.13}",808,500
WES,"{""temperature"": ""24\u00b0C"", ""ph"": 7.8, ""time"": ""22h""}","{""measurement"": 85.34, ""p_value"": 0.0005, ""fold_change"": 1.75}",838,277
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 6.9, ""time"": ""25h""}","{""measurement"": 11.53, ""p_value"": 0.0172, ""fold_change"": -4.08}",907,315
RNA-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.1, ""time"": ""45h""}","{""measurement"": 76.62, ""p_value"": 0.049, ""fold_change"": 4.46}",415,268
Proteomics,"{""temperature"": ""26\u00b0C"", ""ph"": 6.7, ""time"": ""38h""}","{""measurement"": 90.49, ""p_value"": 0.018, ""fold_change"": 3.49}",678,347
RNA-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.8, ""time"": ""35h""}","{""measurement"": 54.06, ""p_value"": 0.0028, ""fold_change"": 3.43}",699,488
WES,"{""temperature"": ""26\u00b0C"", ""ph"": 7.5, ""time"": ""43h""}","{""measurement"": 10.57, ""p_value"": 0.0306, ""fold_change"": 3.83}",467,331
ATAC-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 7.4, ""time"": ""39h""}","{""measurement"": 25.49, ""p_value"": 0.0235, ""fold_change"": -3.25}",317,199
Microarray,"{""temperature"": ""24\u00b0C"", ""ph"": 7.5, ""time"": ""38h""}","{""measurement"": 49.71, ""p_value"": 0.0428, ""fold_change"": 2.17}",877,23
WGS,"{""temperature"": ""37\u00b0C"", ""ph"": 6.6, ""time"": ""14h""}","{""measurement"": 40.66, ""p_value"": 0.0162, ""fold_change"": -3.48}",90,468
RNA-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 7.1, ""time"": ""30h""}","{""measurement"": 89.16, ""p_value"": 0.0242, ""fold_change"": 4.63}",504,263
WGS,"{""temperature"": ""25\u00b0C"", ""ph"": 7.0, ""time"": ""38h""}","{""measurement"": 37.26, ""p_value"": 0.0093, ""fold_change"": 3.13}",703,303
ATAC-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.2, ""time"": ""9h""}","{""measurement"": 35.26, ""p_value"": 0.0388, ""fold_change"": -2.63}",806,88
RNA-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 7.0, ""time"": ""12h""}","{""measurement"": 58.59, ""p_value"": 0.0339, ""fold_change"": -1.24}",811,21
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 6.0, ""time"": ""35h""}","{""measurement"": 33.68, ""p_value"": 0.012, ""fold_change"": -3.41}",482,409
WGS,"{""temperature"": ""26\u00b0C"", ""ph"": 8.0, ""time"": ""35h""}","{""measurement"": 52.98, ""p_value"": 0.0274, ""fold_change"": -1.2}",794,426
Metabolomics,"{""temperature"": ""33\u00b0C"", ""ph"": 7.5, ""time"": ""47h""}","{""measurement"": 97.8, ""p_value"": 0.0454, ""fold_change"": 3.48}",685,495
Microarray,"{""temperature"": ""29\u00b0C"", ""ph"": 6.0, ""time"": ""7h""}","{""measurement"": 13.75, ""p_value"": 0.0114, ""fold_change"": 4.52}",190,45
RNA-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 7.4, ""time"": ""21h""}","{""measurement"": 83.71, ""p_value"": 0.034, ""fold_change"": 1.24}",550,91
ATAC-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 7.8, ""time"": ""27h""}","{""measurement"": 41.42, ""p_value"": 0.0442, ""fold_change"": 4.76}",95,362
Metabolomics,"{""temperature"": ""31\u00b0C"", ""ph"": 7.0, ""time"": ""37h""}","{""measurement"": 22.37, ""p_value"": 0.0299, ""fold_change"": 0.98}",691,189
Proteomics,"{""temperature"": ""25\u00b0C"", ""ph"": 6.5, ""time"": ""21h""}","{""measurement"": 29.65, ""p_value"": 0.0239, ""fold_change"": -2.77}",923,343
RNA-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 6.9, ""time"": ""4h""}","{""measurement"": 83.41, ""p_value"": 0.0106, ""fold_change"": -3.58}",786,260
Microarray,"{""temperature"": ""23\u00b0C"", ""ph"": 6.8, ""time"": ""39h""}","{""measurement"": 82.2, ""p_value"": 0.038, ""fold_change"": 1.47}",540,122
WGS,"{""temperature"": ""32\u00b0C"", ""ph"": 6.2, ""time"": ""22h""}","{""measurement"": 84.85, ""p_value"": 0.0287, ""fold_change"": -2.77}",183,167
ATAC-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 7.0, ""time"": ""33h""}","{""measurement"": 23.35, ""p_value"": 0.0229, ""fold_change"": 2.32}",576,474
Proteomics,"{""temperature"": ""23\u00b0C"", ""ph"": 7.2, ""time"": ""1h""}","{""measurement"": 94.81, ""p_value"": 0.0265, ""fold_change"": -1.64}",628,274
RNA-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 7.4, ""time"": ""21h""}","{""measurement"": 46.62, ""p_value"": 0.0237, ""fold_change"": 4.83}",253,120
Microarray,"{""temperature"": ""32\u00b0C"", ""ph"": 7.7, ""time"": ""21h""}","{""measurement"": 24.36, ""p_value"": 0.0464, ""fold_change"": 1.81}",157,197
ChIP-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.2, ""time"": ""39h""}","{""measurement"": 92.11, ""p_value"": 0.0339, ""fold_change"": -2.31}",365,325
Metabolomics,"{""temperature"": ""22\u00b0C"", ""ph"": 6.8, ""time"": ""42h""}","{""measurement"": 73.11, ""p_value"": 0.0419, ""fold_change"": -2.95}",963,59
Microarray,"{""temperature"": ""37\u00b0C"", ""ph"": 7.8, ""time"": ""21h""}","{""measurement"": 62.45, ""p_value"": 0.0034, ""fold_change"": -3.92}",38,270
RNA-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.5, ""time"": ""40h""}","{""measurement"": 15.88, ""p_value"": 0.0062, ""fold_change"": -3.32}",474,185
WES,"{""temperature"": ""36\u00b0C"", ""ph"": 7.7, ""time"": ""17h""}","{""measurement"": 49.35, ""p_value"": 0.0068, ""fold_change"": -4.77}",198,416
Microarray,"{""temperature"": ""35\u00b0C"", ""ph"": 6.4, ""time"": ""17h""}","{""measurement"": 19.05, ""p_value"": 0.0448, ""fold_change"": -0.92}",385,340
WGS,"{""temperature"": ""36\u00b0C"", ""ph"": 6.2, ""time"": ""6h""}","{""measurement"": 37.34, ""p_value"": 0.0103, ""fold_change"": -4.44}",297,412
WGS,"{""temperature"": ""20\u00b0C"", ""ph"": 6.1, ""time"": ""9h""}","{""measurement"": 8.54, ""p_value"": 0.0244, ""fold_change"": -0.4}",238,448
ATAC-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 6.7, ""time"": ""22h""}","{""measurement"": 39.18, ""p_value"": 0.0388, ""fold_change"": 0.52}",848,184
WES,"{""temperature"": ""32\u00b0C"", ""ph"": 6.3, ""time"": ""48h""}","{""measurement"": 57.01, ""p_value"": 0.0038, ""fold_change"": 2.67}",446,288
WES,"{""temperature"": ""36\u00b0C"", ""ph"": 7.2, ""time"": ""2h""}","{""measurement"": 8.13, ""p_value"": 0.0039, ""fold_change"": 1.57}",73,312
WES,"{""temperature"": ""33\u00b0C"", ""ph"": 6.9, ""time"": ""18h""}","{""measurement"": 56.06, ""p_value"": 0.0338, ""fold_change"": -3.6}",522,188
Microarray,"{""temperature"": ""28\u00b0C"", ""ph"": 7.3, ""time"": ""37h""}","{""measurement"": 3.93, ""p_value"": 0.0496, ""fold_change"": -4.76}",643,10
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.9, ""time"": ""19h""}","{""measurement"": 56.46, ""p_value"": 0.0328, ""fold_change"": -3.75}",86,396
Proteomics,"{""temperature"": ""34\u00b0C"", ""ph"": 6.8, ""time"": ""35h""}","{""measurement"": 63.01, ""p_value"": 0.0045, ""fold_change"": 2.03}",523,63
Metabolomics,"{""temperature"": ""37\u00b0C"", ""ph"": 6.9, ""time"": ""12h""}","{""measurement"": 87.1, ""p_value"": 0.0461, ""fold_change"": 3.44}",985,364
Microarray,"{""temperature"": ""22\u00b0C"", ""ph"": 7.3, ""time"": ""28h""}","{""measurement"": 79.75, ""p_value"": 0.0429, ""fold_change"": -2.18}",73,263
Microarray,"{""temperature"": ""30\u00b0C"", ""ph"": 6.2, ""time"": ""15h""}","{""measurement"": 65.66, ""p_value"": 0.0488, ""fold_change"": 0.32}",942,489
Metabolomics,"{""temperature"": ""21\u00b0C"", ""ph"": 6.3, ""time"": ""30h""}","{""measurement"": 69.96, ""p_value"": 0.0144, ""fold_change"": -4.84}",117,64
WES,"{""temperature"": ""29\u00b0C"", ""ph"": 6.5, ""time"": ""48h""}","{""measurement"": 22.42, ""p_value"": 0.0084, ""fold_change"": 2.97}",773,484
WGS,"{""temperature"": ""36\u00b0C"", ""ph"": 6.2, ""time"": ""34h""}","{""measurement"": 24.97, ""p_value"": 0.0021, ""fold_change"": 0.06}",782,117
WGS,"{""temperature"": ""20\u00b0C"", ""ph"": 6.8, ""time"": ""16h""}","{""measurement"": 48.18, ""p_value"": 0.0203, ""fold_change"": 1.26}",422,364
ATAC-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 7.3, ""time"": ""42h""}","{""measurement"": 80.38, ""p_value"": 0.0201, ""fold_change"": -4.04}",974,328
ATAC-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 7.5, ""time"": ""28h""}","{""measurement"": 33.84, ""p_value"": 0.0237, ""fold_change"": 4.44}",448,169
WGS,"{""temperature"": ""33\u00b0C"", ""ph"": 7.3, ""time"": ""28h""}","{""measurement"": 87.47, ""p_value"": 0.0449, ""fold_change"": 1.53}",464,476
ATAC-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 7.0, ""time"": ""12h""}","{""measurement"": 52.55, ""p_value"": 0.0124, ""fold_change"": -0.62}",817,309
RNA-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 7.3, ""time"": ""48h""}","{""measurement"": 95.76, ""p_value"": 0.0236, ""fold_change"": 1.25}",557,26
ATAC-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 6.9, ""time"": ""42h""}","{""measurement"": 12.69, ""p_value"": 0.0492, ""fold_change"": 3.73}",22,112
Microarray,"{""temperature"": ""29\u00b0C"", ""ph"": 7.1, ""time"": ""36h""}","{""measurement"": 78.4, ""p_value"": 0.0017, ""fold_change"": -1.02}",778,116
Proteomics,"{""temperature"": ""21\u00b0C"", ""ph"": 6.0, ""time"": ""13h""}","{""measurement"": 63.88, ""p_value"": 0.0489, ""fold_change"": -0.39}",561,328
Metabolomics,"{""temperature"": ""28\u00b0C"", ""ph"": 6.7, ""time"": ""6h""}","{""measurement"": 34.29, ""p_value"": 0.045, ""fold_change"": -1.58}",857,107
Metabolomics,"{""temperature"": ""22\u00b0C"", ""ph"": 7.3, ""time"": ""6h""}","{""measurement"": 4.26, ""p_value"": 0.0226, ""fold_change"": 2.52}",827,344
Microarray,"{""temperature"": ""23\u00b0C"", ""ph"": 6.2, ""time"": ""12h""}","{""measurement"": 9.54, ""p_value"": 0.0243, ""fold_change"": 2.87}",192,301
