title,authors,journal,publication_year,doi
Research on Gene Function 303,"Author0, Author1, Author2, Author3, Author4",Nucleic Acids Research,2020,10.1234/journal.5849.303
Research on Gene Function 304,"Author0, Author1",PLOS ONE,2020,10.1234/journal.5566.304
Research on Gene Function 305,"Author0, Author1, Author2, Author3",Science,2016,10.1234/journal.9973.305
Research on Gene Function 306,"Author0, Author1, Author2, Author3",Genome Research,2010,10.1234/journal.9205.306
Research on Gene Function 307,"Author0, Author1, Author2, Author3",BMC Genomics,2010,10.1234/journal.9977.307
Research on Gene Function 308,Author0,Nature,2023,10.1234/journal.6792.308
Research on Gene Function 309,"Author0, Author1",Genome Research,2020,10.1234/journal.3674.309
Research on Gene Function 310,Author0,PLOS ONE,2020,10.1234/journal.2811.310
Research on Gene Function 311,Author0,BMC Genomics,2020,10.1234/journal.5281.311
Research on Gene Function 312,"Author0, Author1, Author2, Author3, Author4",Nucleic Acids Research,2017,10.1234/journal.1641.312
Research on Gene Function 313,"Author0, Author1, Author2, Author3, Author4",Nature,2017,10.1234/journal.5757.313
Research on Gene Function 314,"Author0, Author1, Author2",Nature,2013,10.1234/journal.9070.314
Research on Gene Function 315,"Author0, Author1",Genome Research,2019,10.1234/journal.3145.315
Research on Gene Function 316,"Author0, Author1, Author2, Author3, Author4",Cell,2011,10.1234/journal.9539.316
Research on Gene Function 317,"Author0, Author1, Author2, Author3",Nucleic Acids Research,2023,10.1234/journal.5114.317
Research on Gene Function 318,"Author0, Author1, Author2, Author3, Author4",Bioinformatics,2019,10.1234/journal.4306.318
Research on Gene Function 319,"Author0, Author1, Author2, Author3, Author4",Genome Research,2011,10.1234/journal.7918.319
Research on Gene Function 320,Author0,Nature,2021,10.1234/journal.7063.320
Research on Gene Function 321,"Author0, Author1, Author2, Author3, Author4",Nature,2010,10.1234/journal.8805.321
Research on Gene Function 322,Author0,Cell,2024,10.1234/journal.4025.322
Research on Gene Function 323,"Author0, Author1, Author2",Nucleic Acids Research,2014,10.1234/journal.8436.323
Research on Gene Function 324,"Author0, Author1",Nucleic Acids Research,2013,10.1234/journal.3142.324
Research on Gene Function 325,"Author0, Author1, Author2",BMC Genomics,2022,10.1234/journal.8114.325
Research on Gene Function 326,"Author0, Author1, Author2, Author3",Genome Research,2013,10.1234/journal.6901.326
Research on Gene Function 327,"Author0, Author1, Author2",Nucleic Acids Research,2024,10.1234/journal.5249.327
Research on Gene Function 328,"Author0, Author1, Author2, Author3, Author4",Genome Research,2021,10.1234/journal.8135.328
Research on Gene Function 329,"Author0, Author1",Genome Research,2019,10.1234/journal.1867.329
Research on Gene Function 330,"Author0, Author1, Author2, Author3, Author4",Bioinformatics,2022,10.1234/journal.2136.330
Research on Gene Function 331,"Author0, Author1, Author2, Author3",Nature,2015,10.1234/journal.7400.331
Research on Gene Function 332,"Author0, Author1, Author2, Author3, Author4",Bioinformatics,2020,10.1234/journal.1433.332
Research on Gene Function 333,"Author0, Author1, Author2, Author3",Nucleic Acids Research,2013,10.1234/journal.5290.333
Research on Gene Function 334,"Author0, Author1, Author2, Author3",Science,2012,10.1234/journal.3922.334
Research on Gene Function 335,Author0,Cell,2022,10.1234/journal.4803.335
Research on Gene Function 336,"Author0, Author1",BMC Genomics,2010,10.1234/journal.9950.336
Research on Gene Function 337,"Author0, Author1, Author2, Author3",Bioinformatics,2024,10.1234/journal.4320.337
Research on Gene Function 338,Author0,PLOS ONE,2018,10.1234/journal.8032.338
Research on Gene Function 339,"Author0, Author1, Author2",Bioinformatics,2016,10.1234/journal.2387.339
Research on Gene Function 340,"Author0, Author1, Author2",BMC Genomics,2017,10.1234/journal.4419.340
Research on Gene Function 341,"Author0, Author1, Author2, Author3, Author4",PLOS ONE,2014,10.1234/journal.1693.341
Research on Gene Function 342,"Author0, Author1",Nucleic Acids Research,2011,10.1234/journal.7239.342
Research on Gene Function 343,"Author0, Author1, Author2",Cell,2012,10.1234/journal.3708.343
Research on Gene Function 344,Author0,Genome Research,2012,10.1234/journal.3267.344
Research on Gene Function 345,"Author0, Author1",Bioinformatics,2018,10.1234/journal.2174.345
Research on Gene Function 346,"Author0, Author1, Author2, Author3, Author4",Nature,2010,10.1234/journal.8167.346
Research on Gene Function 347,Author0,Bioinformatics,2024,10.1234/journal.9807.347
Research on Gene Function 348,"Author0, Author1",Nature,2021,10.1234/journal.1210.348
Research on Gene Function 349,"Author0, Author1, Author2, Author3",Genome Research,2012,10.1234/journal.1261.349
Research on Gene Function 350,"Author0, Author1",BMC Genomics,2010,10.1234/journal.6125.350
Research on Gene Function 351,Author0,Cell,2011,10.1234/journal.3560.351
Research on Gene Function 352,"Author0, Author1, Author2, Author3",Bioinformatics,2020,10.1234/journal.1456.352
Research on Gene Function 353,"Author0, Author1",PLOS ONE,2011,10.1234/journal.7254.353
Research on Gene Function 354,Author0,Genome Research,2012,10.1234/journal.1465.354
Research on Gene Function 355,Author0,BMC Genomics,2014,10.1234/journal.2886.355
Research on Gene Function 356,Author0,Genome Research,2019,10.1234/journal.6662.356
Research on Gene Function 357,"Author0, Author1, Author2, Author3, Author4",Bioinformatics,2020,10.1234/journal.4134.357
Research on Gene Function 358,"Author0, Author1, Author2, Author3",Genome Research,2015,10.1234/journal.5169.358
Research on Gene Function 359,Author0,Science,2017,10.1234/journal.2371.359
Research on Gene Function 360,Author0,Cell,2011,10.1234/journal.8348.360
Research on Gene Function 361,"Author0, Author1, Author2",Bioinformatics,2018,10.1234/journal.4706.361
Research on Gene Function 362,Author0,PLOS ONE,2014,10.1234/journal.1382.362
Research on Gene Function 363,"Author0, Author1, Author2",Nature,2015,10.1234/journal.6845.363
Research on Gene Function 364,"Author0, Author1, Author2, Author3",Science,2019,10.1234/journal.7303.364
Research on Gene Function 365,"Author0, Author1, Author2",PLOS ONE,2024,10.1234/journal.6669.365
Research on Gene Function 366,"Author0, Author1, Author2",Science,2018,10.1234/journal.9381.366
Research on Gene Function 367,"Author0, Author1, Author2, Author3",Science,2019,10.1234/journal.4630.367
Research on Gene Function 368,"Author0, Author1, Author2",Bioinformatics,2010,10.1234/journal.7331.368
Research on Gene Function 369,"Author0, Author1, Author2, Author3, Author4",Nucleic Acids Research,2022,10.1234/journal.8650.369
Research on Gene Function 370,"Author0, Author1, Author2, Author3, Author4",Nature,2020,10.1234/journal.3498.370
Research on Gene Function 371,"Author0, Author1",Science,2012,10.1234/journal.8750.371
Research on Gene Function 372,"Author0, Author1, Author2, Author3",Genome Research,2023,10.1234/journal.2393.372
Research on Gene Function 373,"Author0, Author1",BMC Genomics,2010,10.1234/journal.6289.373
Research on Gene Function 374,"Author0, Author1, Author2, Author3",Science,2023,10.1234/journal.7627.374
Research on Gene Function 375,Author0,PLOS ONE,2020,10.1234/journal.7312.375
Research on Gene Function 376,Author0,PLOS ONE,2024,10.1234/journal.5463.376
Research on Gene Function 377,"Author0, Author1, Author2, Author3, Author4",BMC Genomics,2014,10.1234/journal.6030.377
Research on Gene Function 378,Author0,Bioinformatics,2011,10.1234/journal.4887.378
Research on Gene Function 379,"Author0, Author1",Nucleic Acids Research,2017,10.1234/journal.6736.379
Research on Gene Function 380,"Author0, Author1, Author2",PLOS ONE,2014,10.1234/journal.8913.380
Research on Gene Function 381,"Author0, Author1, Author2, Author3, Author4",Science,2020,10.1234/journal.3656.381
Research on Gene Function 382,"Author0, Author1, Author2",Bioinformatics,2013,10.1234/journal.3625.382
Research on Gene Function 383,"Author0, Author1, Author2, Author3, Author4",Science,2022,10.1234/journal.2276.383
Research on Gene Function 384,"Author0, Author1, Author2, Author3",Bioinformatics,2010,10.1234/journal.5680.384
Research on Gene Function 385,Author0,Nature,2011,10.1234/journal.2063.385
Research on Gene Function 386,"Author0, Author1",Genome Research,2015,10.1234/journal.5854.386
Research on Gene Function 387,Author0,Nucleic Acids Research,2021,10.1234/journal.4598.387
Research on Gene Function 388,"Author0, Author1, Author2",Cell,2019,10.1234/journal.3788.388
Research on Gene Function 389,"Author0, Author1",Cell,2023,10.1234/journal.4378.389
Research on Gene Function 390,"Author0, Author1, Author2",Bioinformatics,2016,10.1234/journal.8306.390
Research on Gene Function 391,"Author0, Author1",Nature,2011,10.1234/journal.4154.391
Research on Gene Function 392,"Author0, Author1",Science,2020,10.1234/journal.3446.392
Research on Gene Function 393,"Author0, Author1, Author2, Author3, Author4",Nucleic Acids Research,2022,10.1234/journal.8563.393
Research on Gene Function 394,"Author0, Author1, Author2",Genome Research,2013,10.1234/journal.2735.394
Research on Gene Function 395,"Author0, Author1, Author2, Author3",BMC Genomics,2016,10.1234/journal.2206.395
Research on Gene Function 396,"Author0, Author1, Author2, Author3",Cell,2017,10.1234/journal.9574.396
Research on Gene Function 397,"Author0, Author1, Author2, Author3",Nature,2010,10.1234/journal.2945.397
Research on Gene Function 398,"Author0, Author1, Author2, Author3, Author4",Bioinformatics,2015,10.1234/journal.1140.398
Research on Gene Function 399,"Author0, Author1, Author2, Author3",Science,2024,10.1234/journal.9066.399
Research on Gene Function 400,Author0,Nucleic Acids Research,2015,10.1234/journal.5647.400
Research on Gene Function 401,Author0,BMC Genomics,2022,10.1234/journal.3221.401
Research on Gene Function 402,"Author0, Author1",PLOS ONE,2016,10.1234/journal.1482.402
Research on Gene Function 403,"Author0, Author1, Author2, Author3",Cell,2021,10.1234/journal.5374.403
Research on Gene Function 404,Author0,BMC Genomics,2010,10.1234/journal.1290.404
Research on Gene Function 405,"Author0, Author1, Author2",Science,2023,10.1234/journal.4900.405
Research on Gene Function 406,"Author0, Author1, Author2, Author3, Author4",Cell,2019,10.1234/journal.9012.406
Research on Gene Function 407,"Author0, Author1, Author2",Nucleic Acids Research,2024,10.1234/journal.3605.407
Research on Gene Function 408,"Author0, Author1, Author2",Nature,2012,10.1234/journal.6532.408
Research on Gene Function 409,"Author0, Author1",Genome Research,2011,10.1234/journal.4411.409
Research on Gene Function 410,"Author0, Author1, Author2, Author3, Author4",BMC Genomics,2020,10.1234/journal.5950.410
Research on Gene Function 411,"Author0, Author1, Author2",Cell,2016,10.1234/journal.6168.411
Research on Gene Function 412,Author0,Science,2011,10.1234/journal.7018.412
Research on Gene Function 413,"Author0, Author1, Author2",Bioinformatics,2011,10.1234/journal.2792.413
Research on Gene Function 414,"Author0, Author1, Author2, Author3",Genome Research,2014,10.1234/journal.5472.414
Research on Gene Function 415,"Author0, Author1, Author2, Author3",Science,2014,10.1234/journal.3296.415
Research on Gene Function 416,"Author0, Author1, Author2",BMC Genomics,2024,10.1234/journal.2756.416
Research on Gene Function 417,"Author0, Author1, Author2, Author3, Author4",Cell,2012,10.1234/journal.9878.417
Research on Gene Function 418,"Author0, Author1, Author2, Author3, Author4",Science,2021,10.1234/journal.7489.418
Research on Gene Function 419,Author0,PLOS ONE,2019,10.1234/journal.4132.419
Research on Gene Function 420,"Author0, Author1, Author2, Author3",PLOS ONE,2011,10.1234/journal.3880.420
Research on Gene Function 421,"Author0, Author1, Author2, Author3",BMC Genomics,2023,10.1234/journal.9134.421
Research on Gene Function 422,"Author0, Author1",Bioinformatics,2023,10.1234/journal.8977.422
Research on Gene Function 423,"Author0, Author1",Bioinformatics,2019,10.1234/journal.5814.423
Research on Gene Function 424,"Author0, Author1, Author2",Nucleic Acids Research,2015,10.1234/journal.2233.424
Research on Gene Function 425,"Author0, Author1, Author2, Author3",Nature,2017,10.1234/journal.8920.425
Research on Gene Function 426,"Author0, Author1, Author2, Author3, Author4",Bioinformatics,2016,10.1234/journal.9206.426
Research on Gene Function 427,"Author0, Author1",BMC Genomics,2021,10.1234/journal.6071.427
Research on Gene Function 428,"Author0, Author1, Author2",Nucleic Acids Research,2018,10.1234/journal.8575.428
Research on Gene Function 429,"Author0, Author1, Author2",Nature,2022,10.1234/journal.5086.429
Research on Gene Function 430,"Author0, Author1, Author2",Bioinformatics,2022,10.1234/journal.3098.430
Research on Gene Function 431,"Author0, Author1, Author2",Cell,2020,10.1234/journal.1182.431
Research on Gene Function 432,Author0,Science,2016,10.1234/journal.5338.432
Research on Gene Function 433,"Author0, Author1, Author2, Author3, Author4",Cell,2014,10.1234/journal.3261.433
Research on Gene Function 434,Author0,Genome Research,2012,10.1234/journal.2037.434
Research on Gene Function 435,"Author0, Author1, Author2",Nucleic Acids Research,2022,10.1234/journal.5711.435
Research on Gene Function 436,"Author0, Author1, Author2, Author3",Bioinformatics,2011,10.1234/journal.8783.436
Research on Gene Function 437,"Author0, Author1, Author2",Science,2017,10.1234/journal.2655.437
Research on Gene Function 438,Author0,Science,2018,10.1234/journal.5177.438
Research on Gene Function 439,"Author0, Author1, Author2, Author3",PLOS ONE,2012,10.1234/journal.4466.439
Research on Gene Function 440,Author0,Genome Research,2023,10.1234/journal.8489.440
Research on Gene Function 441,"Author0, Author1, Author2",Cell,2018,10.1234/journal.7777.441
Research on Gene Function 442,"Author0, Author1, Author2",Cell,2024,10.1234/journal.4036.442
Research on Gene Function 443,"Author0, Author1, Author2, Author3, Author4",Bioinformatics,2013,10.1234/journal.3070.443
Research on Gene Function 444,"Author0, Author1",Nucleic Acids Research,2023,10.1234/journal.5861.444
Research on Gene Function 445,"Author0, Author1",BMC Genomics,2023,10.1234/journal.7182.445
Research on Gene Function 446,"Author0, Author1, Author2, Author3",Science,2014,10.1234/journal.9466.446
Research on Gene Function 447,Author0,Nature,2013,10.1234/journal.2912.447
Research on Gene Function 448,"Author0, Author1, Author2",BMC Genomics,2021,10.1234/journal.7665.448
Research on Gene Function 449,"Author0, Author1, Author2, Author3, Author4",Cell,2018,10.1234/journal.5336.449
Research on Gene Function 450,Author0,Nature,2019,10.1234/journal.5513.450
Research on Gene Function 451,"Author0, Author1, Author2, Author3, Author4",Nucleic Acids Research,2012,10.1234/journal.1738.451
Research on Gene Function 452,"Author0, Author1",Genome Research,2021,10.1234/journal.8182.452
Research on Gene Function 453,"Author0, Author1",PLOS ONE,2023,10.1234/journal.5357.453
Research on Gene Function 454,"Author0, Author1, Author2, Author3",PLOS ONE,2016,10.1234/journal.6694.454
Research on Gene Function 455,"Author0, Author1, Author2",Bioinformatics,2011,10.1234/journal.4201.455
Research on Gene Function 456,"Author0, Author1, Author2, Author3",Nature,2021,10.1234/journal.4859.456
Research on Gene Function 457,"Author0, Author1, Author2",BMC Genomics,2023,10.1234/journal.2152.457
Research on Gene Function 458,Author0,Genome Research,2024,10.1234/journal.2914.458
Research on Gene Function 459,"Author0, Author1, Author2, Author3, Author4",Genome Research,2018,10.1234/journal.9687.459
Research on Gene Function 460,"Author0, Author1",Genome Research,2024,10.1234/journal.3020.460
Research on Gene Function 461,Author0,BMC Genomics,2012,10.1234/journal.9363.461
Research on Gene Function 462,"Author0, Author1, Author2, Author3",Science,2012,10.1234/journal.9611.462
Research on Gene Function 463,Author0,Science,2010,10.1234/journal.1537.463
Research on Gene Function 464,Author0,Genome Research,2021,10.1234/journal.1237.464
Research on Gene Function 465,"Author0, Author1, Author2, Author3, Author4",Cell,2018,10.1234/journal.7602.465
Research on Gene Function 466,"Author0, Author1, Author2",PLOS ONE,2013,10.1234/journal.5137.466
Research on Gene Function 467,"Author0, Author1, Author2, Author3, Author4",Science,2018,10.1234/journal.8153.467
Research on Gene Function 468,"Author0, Author1",Cell,2023,10.1234/journal.2252.468
Research on Gene Function 469,Author0,Nucleic Acids Research,2022,10.1234/journal.6310.469
Research on Gene Function 470,"Author0, Author1, Author2",Nature,2021,10.1234/journal.9081.470
Research on Gene Function 471,"Author0, Author1, Author2, Author3",Bioinformatics,2019,10.1234/journal.6310.471
Research on Gene Function 472,"Author0, Author1, Author2, Author3",Nucleic Acids Research,2021,10.1234/journal.7332.472
Research on Gene Function 473,"Author0, Author1",Genome Research,2019,10.1234/journal.5238.473
Research on Gene Function 474,"Author0, Author1, Author2, Author3, Author4",BMC Genomics,2021,10.1234/journal.4238.474
Research on Gene Function 475,"Author0, Author1, Author2",Bioinformatics,2017,10.1234/journal.1473.475
Research on Gene Function 476,"Author0, Author1",Bioinformatics,2018,10.1234/journal.7655.476
Research on Gene Function 477,"Author0, Author1, Author2, Author3, Author4",Bioinformatics,2017,10.1234/journal.6592.477
Research on Gene Function 478,"Author0, Author1, Author2, Author3",Genome Research,2019,10.1234/journal.2362.478
Research on Gene Function 479,Author0,Science,2017,10.1234/journal.9846.479
Research on Gene Function 480,Author0,Science,2016,10.1234/journal.2873.480
Research on Gene Function 481,"Author0, Author1, Author2, Author3",Nature,2014,10.1234/journal.7612.481
Research on Gene Function 482,"Author0, Author1, Author2, Author3, Author4",Nucleic Acids Research,2024,10.1234/journal.2880.482
Research on Gene Function 483,"Author0, Author1, Author2, Author3",PLOS ONE,2023,10.1234/journal.4279.483
Research on Gene Function 484,"Author0, Author1, Author2",Bioinformatics,2015,10.1234/journal.8212.484
Research on Gene Function 485,Author0,Cell,2021,10.1234/journal.2267.485
Research on Gene Function 486,"Author0, Author1",Genome Research,2015,10.1234/journal.6967.486
Research on Gene Function 487,"Author0, Author1, Author2",BMC Genomics,2011,10.1234/journal.6379.487
Research on Gene Function 488,"Author0, Author1, Author2, Author3",Genome Research,2019,10.1234/journal.2272.488
Research on Gene Function 489,"Author0, Author1",Nature,2023,10.1234/journal.1952.489
Research on Gene Function 490,"Author0, Author1, Author2, Author3, Author4",PLOS ONE,2022,10.1234/journal.8253.490
Research on Gene Function 491,"Author0, Author1, Author2, Author3, Author4",PLOS ONE,2012,10.1234/journal.7802.491
Research on Gene Function 492,Author0,Science,2015,10.1234/journal.6895.492
Research on Gene Function 493,Author0,Bioinformatics,2024,10.1234/journal.4221.493
Research on Gene Function 494,Author0,Nature,2022,10.1234/journal.3035.494
Research on Gene Function 495,Author0,Bioinformatics,2019,10.1234/journal.4609.495
Research on Gene Function 496,Author0,Nature,2011,10.1234/journal.6380.496
Research on Gene Function 497,"Author0, Author1, Author2, Author3",Cell,2021,10.1234/journal.8805.497
Research on Gene Function 498,"Author0, Author1, Author2, Author3",Science,2012,10.1234/journal.7904.498
Research on Gene Function 499,"Author0, Author1, Author2, Author3, Author4",BMC Genomics,2016,10.1234/journal.5975.499
